"","archetype","placement","player","deck_id","deck_cost","slug","archetype_encoding","archetype_power_level"
"222","Ritual Beast",63,"The-Phong Trinh","ritual-beast-548724",598.8,"ycs-bologna-2407",24,0
"223","Ritual Beast",32,"Christofer A.","",NA,"ycs-bologna-2407",24,0
"224","Ritual Beast",8,"Julio Valls","ritual-beast-548319",718.38,"ycs-bologna-2407",24,0
"225","Ritual Beast",57,"Antonio Oliva","ritual-beast-548403",494.67,"ycs-bologna-2407",24,0
"226","Ritual Beast",29,"Jonasz Pilat","ritual-beast-548320",719.76,"ycs-bologna-2407",24,0
"227","Ryzeal",12,"Felipe Bisserier Zapata","",NA,"ycs-buenos-aires-2891",2,0
"228","Ryzeal",16,"Bryce Sharp","ryzeal-588516",422.42,"ycs-houston-2930",2,0
"229","Ryzeal",20,"Tomas Dughera","fiendsmith-ryzeal-586344",638.83,"ycs-buenos-aires-2891",2,0
"230","Ryzeal",32,"Sebastian Alonso Serna Semame","",NA,"ycs-buenos-aires-2891",2,0
"231","Ryzeal",30,"Cristopher Bernard Penafiel Ramirez","",NA,"latin-america-remote-duel-ycs-2703",2,0
"232","Ryzeal",4,"Kevin Züger","ryzeal-588731",507,"ycs-houston-2930",2,0
"233","Ryzeal",4,"Tomas Dughera","",NA,"latin-america-remote-duel-ycs-2703",2,0
"234","Ryzeal",26,"Carlos Perozo Moreno","fiendsmith-ryzeal-564595",1171.4,"ycs-orlando-2684",2,0
"235","Ryzeal",32,"Bryan Angiuoli","ryzeal-588487",750.4,"ycs-houston-2930",2,0
"236","Ryzeal",25,"Luis Guillermo Soto Flores","",NA,"ycs-buenos-aires-2891",2,0
"237","Ryzeal",23,"Marco Riese","fiendsmith-ryzeal-570440",1099.66,"ycs-birmingham-2704",2,0
"238","Ryzeal",44,"Timoti Baggio","fiendsmith-ryzeal-568468",1035.62,"ycs-birmingham-2704",2,0
"239","Ryzeal",6,"Ethan Crowe","",NA,"ycs-orlando-2684",2,0
"240","Ryzeal",14,"Kodai Okamoto","ryzeal-576103",751.26,"ycs-sydney-2783",2,0
"241","Ryzeal",6,"Nathaniel Vasquez","fiendsmith-ryzeal-588848",792.69,"ycs-houston-2930",2,0
"242","Ryzeal",5,"Jhon David Guerrero Sanchez","fiendsmith-ryzeal-587477",696.81,"ycs-buenos-aires-2891",2,0
"243","Ryzeal",2,"Manuel Kälin","ryzeal-588731",507,"ycs-houston-2930",2,0
"244","Ryzeal",3,"Luciano Jeronimo Bregion","fiendsmith-ryzeal-569568",1005.71,"latin-america-remote-duel-ycs-2703",2,0
"245","Ryzeal",12,"David Flores","fiendsmith-ryzeal-564577",1124.29,"ycs-orlando-2684",2,0
"246","Ryzeal",3,"Marvin Kammerer","ryzeal-568770",750.75,"ycs-birmingham-2704",2,0
"247","Ryzeal",17,"Alberto Barzan","ryzeal-569114",760.15,"ycs-birmingham-2704",2,0
"248","Ryzeal",14,"Juan Carlos La Torre Infantas","",NA,"ycs-buenos-aires-2891",2,0
"249","Ryzeal",23,"Cynthia Woods","",NA,"ycs-sydney-2783",2,0
"250","Ryzeal",22,"Anthony Lopes","fiendsmith-ryzeal-569952",1107.37,"ycs-birmingham-2704",2,0
"251","Ryzeal",60,"Steven Santoli","ryzeal-565769",379.92,"ycs-orlando-2684",2,0
"252","Ryzeal",19,"Mitchell Martin","",NA,"ycs-orlando-2684",2,0
"253","Ryzeal",18,"Karthihan Viji","fiendsmith-ryzeal-586639",595.18,"ycs-buenos-aires-2891",2,0
