"","X","id","name","copies","deck_part","deck_id","archetype"
"242",12,86682165,"Icejade Gymir Aegirine",1,1,"atlantean-mermail-565057","Mermail"
"243",0,34267821,"Artifact Lancea",3,2,"atlantean-mermail-565057","Mermail"
"244",1,94145021,"Droll & Lock Bird",3,2,"atlantean-mermail-565057","Mermail"
"245",2,27204311,"Nibiru, the Primal Being",3,2,"atlantean-mermail-565057","Mermail"
"246",3,84192580,"Mulcharmy Purulia",3,2,"atlantean-mermail-565057","Mermail"
"247",4,78610936,"Xyz Encore",3,2,"atlantean-mermail-565057","Mermail"
"248",0,17080584,"Abyssrhine, the Atlantean Spirit",3,0,"atlantean-mermail-568320","Mermail"
"249",1,21565445,"Neptabyss, the Atlantean Prince",3,0,"atlantean-mermail-568320","Mermail"
"250",2,58471134,"Mermail Abysspike",3,0,"atlantean-mermail-568320","Mermail"
"251",3,99193444,"Poseidra, the Storming Atlantean",2,0,"atlantean-mermail-568320","Mermail"
"252",4,22446869,"Mermail Abyssteus",3,0,"atlantean-mermail-568320","Mermail"
"253",5,74311226,"Atlantean Dragoons",3,0,"atlantean-mermail-568320","Mermail"
"254",6,53085623,"Mermail Shadow Squad",3,0,"atlantean-mermail-568320","Mermail"
"255",7,37104630,"Atlantean Heavy Infantry",1,0,"atlantean-mermail-568320","Mermail"
"256",8,88307361,"Superancient Deepsea King Coelacanth",1,0,"atlantean-mermail-568320","Mermail"
"257",9,13959634,"Moulinglacia the Elemental Lord",1,0,"atlantean-mermail-568320","Mermail"
"258",10,71978434,"Deep Sea Minstrel",1,0,"atlantean-mermail-568320","Mermail"
"259",11,42141493,"Mulcharmy Fuwalos",3,0,"atlantean-mermail-568320","Mermail"
"260",12,84192580,"Mulcharmy Purulia",3,0,"atlantean-mermail-568320","Mermail"
"261",13,14558128,"Ash Blossom & Joyous Spring",3,0,"atlantean-mermail-568320","Mermail"
"262",14,81878201,"Abyss-sting Triaina",1,0,"atlantean-mermail-568320","Mermail"
"263",15,2295440,"One for One",1,0,"atlantean-mermail-568320","Mermail"
"264",16,10045474,"Infinite Impermanence",3,0,"atlantean-mermail-568320","Mermail"
