,id,name,country,event_date,winner,format,slug,player_count,is_approximate_player_count
191,59,YCS Utrecht,Germany,2020-02-23,Ryhan Jabri,TCG,ycs-utrecht-59,2227,0
192,950,YCS Milan,Italy,2019-12-01,Andreas Vrellos,TCG,ycs-milan-950,1945,0
193,73,YCS Pasadena,United States,2019-11-24,Kobe Short,TCG,ycs-pasadena-73,1578,0
194,2035,European WCQ 2019,Netherlands,2019-06-28,Gabriel Soussi,TCG,european-wcq-2019-2035,1900,0
195,68,YCS Knoxville,United States,2019-06-02,Jesse Kotton,TCG,ycs-knoxville-68,895,0
196,707,YCS Guatemala City,Guatemala,2019-03-30,Paulo Roberto Goncalves da Silva,TCG,ycs-guatemala-city-707,286,0
197,2964,Team YCS Atlanta,United States,2019-03-17,Team TCG Collectibles Fala Galera,TCG,team-ycs-atlanta-2964,1674,0
198,78,YCS Sydney,Australia,2019-01-13,Onur Gezer,TCG,ycs-sydney-78,1050,0
199,946,YCS Milan,Italy,2018-12-09,Dinh-Kha Bui,TCG,ycs-milan-946,1767,0
200,1089,YCS Sao Paulo,Brazil,2018-11-17,Henrique Domingues Nascimento,TCG,ycs-sao-paulo-1089,455,0
201,2089,European WCQ 2018,Germany,2018-07-07,Luke Parkes,TCG,european-wcq-2018-2089,1624,0
202,640,YCS Secaucus,United States,2018-06-03,Dakota Angeloff,TCG,ycs-secaucus-640,1321,0
203,237,YCS Prague II,Czech Republic,2017-11-25,Raphael Neven,TCG,ycs-prague-ii-237,1027,0
204,1193,YCS Dallas,United States,2017-10-22,Imran Khan,TCG,ycs-dallas-1193,1121,0
205,1191,YCS Rimini,Italy,2017-08-27,Andreas Vrellos,TCG,ycs-rimini-1191,1040,0
206,1091,YCS Origins,United States,2016-06-19,Jacob Phinney,TCG,ycs-origins-1091,629,0
207,1443,YCS Dallas,United States,2015-10-04,Erik Christensen,TCG,ycs-dallas-1443,1287,0
208,1444,YCS Dallas,United States,2014-10-05,Billy Brake,TCG,ycs-dallas-1444,1131,0
209,1090,YCS Sao Paulo,Brazil,2014-03-08,Carlos Henrique De Araujo Freitas,TCG,ycs-sao-paulo-1090,350,1
